Localizador,Cia Aérea,Origem,Destino,Classe da Passagem,Qtde de Paradas,Tipo de Destino,Estação do Ano,Preço Atual da Passagem,Preço da Passagem na última semana,Preço da Passagem no último mês,Decisão do Cliente
2I8PP0,EMIRATES,SIN,LHR,3,1,aventura,outono,4640.28,5399.90,4534.48,Comprou
OVETFK,AMERICAN,LGA,LIS,4,1,romântico,verão,16176.28,16561.69,13532.27,Comprou
I6DFMP,KLM,LAX,HND,2,1,religioso,inverno,2966.18,3342.03,3057.41,Comprou
SLEBFL,QATAR,DEL,HKG,4,0,romântico,primavera,8367.72,9102.89,10404.98,Preferiu aguardar e comprou depois
QZSBLJ,LATAM,DEL,AKL,4,1,romântico,verão,14677.83,12854.01,14554.75,Não comprou
94B734,LATAM,NRT,LAS,1,1,religioso,verão,1394.57,1672.36,1639.43,Comprou
GXPM67,GOL,FRA,ICN,3,1,histórico,primavera,5211.67,4854.23,3931.96,Não comprou
MMHKHE,LATAM,YYZ,MUC,4,0,religioso,inverno,15253.30,12274.27,12602.28,Não comprou
F646MW,EMIRATES,LHR,DFW,1,2,religioso,primavera,1150.29,1030.13,1099.13,Não comprou
A7YOSO,AMERICAN,PHX,MXP,2,1,romântico,outono,3494.62,3921.60,4630.99,Comprou
K9O5MK,AZUL,SFO,SYD,2,1,negócios,verão,4302.29,4845.65,5148.81,Comprou
K7PSYF,QATAR,DEL,YVR,4,0,aventura,inverno,8724.55,8300.06,7102.83,Não comprou
9I98CC,AMERICAN,ATL,JNB,1,2,aventura,primavera,1178.72,1333.75,1459.84,Comprou
0NW3FE,AZUL,BOS,MAD,4,2,romântico,outono,11363.19,13528.06,10992.50,Comprou
4PM22O,LATAM,MAD,ICN,3,0,religioso,verão,9966.46,10630.63,9566.31,Preferiu aguardar e comprou depois
0WZ9NM,KLM,DEN,MUC,4,0,romântico,outono,11236.30,9593.02,10010.90,Não comprou
VP9GPC,GOL,HKG,FRA,1,0,histórico,inverno,1133.01,1090.21,1055.59,Não comprou
FCY5KR,EMIRATES,SFO,HND,4,2,histórico,outono,11561.00,10039.95,9827.54,Não comprou
K5OLS8,AIR FRANCE,SEA,CPT,4,1,histórico,outono,11185.93,11899.50,11425.23,Comprou
AZM971,DELTA,SFO,ATH,1,0,aventura,outono,1645.56,1871.54,2144.96,Comprou
Z2YK8N,QATAR,MUC,ATL,2,2,religioso,primavera,2433.16,2458.28,2703.99,Preferiu aguardar e comprou depois
1UF0L3,DELTA,LAS,SFO,3,2,negócios,inverno,5457.38,6445.50,7674.32,Comprou
OJ89ZR,AZUL,HND,MUC,4,2,aventura,verão,12168.18,14122.33,16679.28,Comprou
2GY5CC,AZUL,MAD,LAX,2,2,negócios,inverno,4335.98,4185.26,4793.61,Não comprou
IJWW60,KLM,JFK,VIE,2,2,negócios,primavera,3214.55,3708.19,3038.71,Comprou
UAYY53,UNITED,SEA,EWR,3,0,negócios,outono,5541.52,4815.95,4388.72,Não comprou
823FG3,DELTA,AMS,SEA,1,2,negócios,primavera,794.18,769.98,641.40,Não comprou
P42A37,KLM,JFK,ICN,2,0,aventura,outono,2327.51,2009.01,2407.36,Não comprou
WQQCLW,AMERICAN,BCN,MXP,1,0,romântico,outono,1649.64,1494.37,1433.94,Não comprou
S3GEH6,DELTA,MAD,LIS,2,2,família,outono,3981.58,3506.33,3662.41,Não comprou
3YPWFG,AZUL,CLT,BOM,3,1,família,inverno,5195.22,5738.61,4859.75,Preferiu aguardar e comprou depois
EAYZX1,QATAR,NRT,CLT,4,1,histórico,inverno,8691.99,8394.51,6880.33,Não comprou
JHPZ6J,GOL,JNB,FRA,2,1,negócios,primavera,3066.83,2943.01,2406.77,Não comprou
JLPCTD,UNITED,SIN,DUB,2,2,religioso,outono,2081.73,2351.00,2013.67,Comprou
SUJQFR,LATAM,SYD,FRA,1,1,família,inverno,876.01,812.03,775.26,Não comprou
C09UBF,KLM,ATL,IAH,2,2,histórico,outono,1772.30,1816.50,1902.63,Comprou
CO0JR0,AIR FRANCE,MXP,VIE,4,2,negócios,verão,14183.86,13312.12,11860.65,Não comprou
O2LOT9,AZUL,DFW,AMS,2,1,aventura,outono,2087.07,2237.29,2472.81,Comprou
1KQFQB,LATAM,MAD,FRA,3,2,aventura,primavera,4584.67,5170.51,5820.62,Preferiu aguardar e comprou depois
39W5V7,DELTA,FRA,MUC,1,2,romântico,verão,2295.33,2019.45,1813.59,Não comprou
B8U0DH,QATAR,MAD,ZRH,1,2,aventura,primavera,1173.38,1071.48,1171.42,Não comprou
PJ8L2E,KLM,MXP,FRA,4,2,aventura,inverno,8956.63,9233.54,8139.33,Preferiu aguardar e comprou depois
H3V1VA,DELTA,CDG,ICN,2,2,religioso,outono,3749.36,3289.28,3312.82,Não comprou
QTJOXP,QATAR,BOM,LGA,4,2,aventura,inverno,7683.98,7405.58,7202.47,Não comprou
2JF1BM,KLM,DFW,EWR,4,0,família,outono,11628.97,10281.46,10398.97,Não comprou
E7CJBD,EMIRATES,DEN,IAH,1,2,família,verão,1981.41,2297.73,2523.26,Comprou
4YBDWI,AIR FRANCE,FRA,SFO,1,2,família,inverno,714.11,809.34,913.10,Comprou
830Y3K,LATAM,LIS,CLT,2,0,aventura,outono,3932.65,4179.78,4004.29,Comprou
XV9ZCR,KLM,DXB,BRU,4,0,romântico,inverno,10232.57,11073.23,9286.99,Comprou
7P9HJR,EMIRATES,HKG,MUC,4,0,religioso,primavera,9960.76,9099.68,9537.55,Não comprou
8WR59Q,AMERICAN,FRA,AMS,4,1,família,outono,13570.56,11438.81,11303.93,Não comprou
0BB5CC,AIR FRANCE,LHR,MIA,1,0,romântico,verão,2568.47,2257.25,2584.71,Não comprou
CMMGYJ,EMIRATES,SIN,SEA,1,1,romântico,inverno,1650.80,1400.79,1462.98,Não comprou
7OVT4D,DELTA,BRU,ATL,2,0,aventura,outono,1989.06,1841.24,1805.94,Não comprou
GU8EF1,EMIRATES,YVR,EWR,4,2,negócios,verão,11807.27,12219.78,11306.95,Preferiu aguardar e comprou depois
7HUY76,UNITED,ICN,FCO,4,2,aventura,verão,14148.76,11945.90,12882.29,Não comprou
JN64LU,QATAR,BOM,VIE,2,1,religioso,primavera,3096.72,3676.16,4239.30,Comprou
5ZG6S1,AIR FRANCE,LGW,HKG,3,1,histórico,inverno,5813.24,6541.32,6704.25,Comprou
FC1A2G,DELTA,LHR,DEN,4,1,religioso,inverno,9959.35,11653.66,10099.62,Comprou
8Z6GPY,QATAR,SEA,ICN,4,1,histórico,inverno,11672.88,11403.35,13455.96,Não comprou
ATVKJY,QATAR,MAD,JNB,3,2,família,inverno,4652.19,3983.88,4654.35,Não comprou
PT6BWG,AIR FRANCE,HKG,MXP,2,0,família,primavera,3654.66,3764.72,3803.78,Preferiu aguardar e comprou depois
XFYVN9,QATAR,PHX,AMS,4,1,romântico,outono,8776.49,9935.37,8431.52,Comprou
PIL53G,AZUL,CDG,FCO,2,0,família,verão,3061.41,3651.38,4142.05,Comprou
GXYT1Y,QATAR,LIS,HKG,2,1,religioso,verão,4365.41,3983.03,3498.23,Não comprou
ZVG0E4,AZUL,MEL,SFO,4,2,aventura,inverno,9265.98,10929.76,9373.78,Comprou
I0VKX2,UNITED,BCN,ZRH,1,0,romântico,primavera,1548.49,1369.40,1431.02,Não comprou
M67D4G,LATAM,CDG,ATH,2,2,família,primavera,2057.38,2378.75,2552.84,Comprou
P1NPCY,DELTA,BCN,AKL,4,2,aventura,primavera,10316.88,8761.40,9870.42,Não comprou
DNRST4,AMERICAN,ORD,ATL,4,0,histórico,outono,12053.82,12626.18,14913.88,Preferiu aguardar e comprou depois
DOPCYC,DELTA,MIA,FRA,1,1,romântico,outono,1655.57,1453.44,1702.96,Não comprou
WQKKIQ,AMERICAN,MAD,DOH,3,2,religioso,primavera,5985.22,6548.31,5909.56,Preferiu aguardar e comprou depois
U98HBG,AMERICAN,SFO,VIE,1,0,negócios,inverno,1299.79,1231.05,1094.24,Não comprou
W7NI4H,AIR FRANCE,AMS,CLT,1,1,negócios,primavera,1239.12,1295.61,1097.48,Preferiu aguardar e comprou depois
D175UX,LATAM,EWR,LHR,4,1,família,primavera,9112.03,8270.25,7361.43,Não comprou
F8FUXM,QATAR,MIA,VIE,2,0,histórico,inverno,4303.53,4487.67,5254.59,Comprou
IAC5P3,UNITED,DEN,YYZ,2,0,romântico,primavera,3605.67,3967.96,4447.69,Comprou
CM4BCW,AIR FRANCE,SIN,FCO,3,2,negócios,outono,5980.68,5496.26,5960.09,Não comprou
LYJKNU,QATAR,IAH,EWR,3,0,família,verão,9300.95,7670.65,8420.17,Não comprou
ZN7E6P,AMERICAN,LGA,MAD,3,0,negócios,inverno,5596.29,4537.83,5057.17,Não comprou
TX9DGL,LATAM,ZRH,SEA,2,0,família,inverno,4354.05,3943.58,3687.90,Não comprou
64I8CR,AIR FRANCE,YYZ,SFO,3,2,negócios,inverno,4030.45,3336.38,3574.74,Não comprou
J8KE25,AZUL,EWR,HND,1,1,romântico,primavera,1312.33,1361.23,1551.41,Preferiu aguardar e comprou depois
XVF1L3,AIR FRANCE,ICN,SYD,4,0,aventura,verão,17172.52,17572.86,19522.52,Preferiu aguardar e comprou depois
1ADNUT,DELTA,CLT,LGA,1,2,histórico,verão,2337.02,1992.35,1883.32,Não comprou
J4WDRC,UNITED,JFK,MEL,2,0,negócios,outono,4165.87,3494.73,2993.04,Não comprou
FT8H5Q,QATAR,SFO,YYZ,1,2,religioso,inverno,1288.66,1199.42,1156.32,Não comprou
XAWSS6,GOL,BOS,LIS,1,0,religioso,outono,1332.24,1421.84,1406.69,Preferiu aguardar e comprou depois
KVEQ0X,LATAM,SYD,PHX,1,1,histórico,outono,1051.67,1104.79,1168.69,Preferiu aguardar e comprou depois
YXLDUB,AZUL,LAS,JNB,2,1,negócios,inverno,4153.27,4176.08,4897.76,Preferiu aguardar e comprou depois
EELVAY,AIR FRANCE,IAH,HKG,2,0,negócios,inverno,4167.24,4991.16,5642.58,Comprou
U3V4KT,KLM,LGA,SIN,1,1,negócios,inverno,2026.90,2295.39,2206.13,Comprou
T2TJAH,AIR FRANCE,JFK,MAD,2,2,negócios,primavera,2502.07,2420.23,1981.62,Não comprou
3L7MFE,KLM,MEL,CPT,2,0,religioso,verão,5113.97,4263.24,3819.00,Não comprou
VRMLOR,QATAR,PVG,LGA,2,2,romântico,inverno,2161.49,1961.41,1675.73,Não comprou
Y06ZWZ,GOL,DFW,BCN,2,2,romântico,outono,4046.82,3785.81,4346.45,Não comprou
U6SAFT,EMIRATES,DOH,MAD,1,2,religioso,inverno,1138.87,1218.78,1348.30,Comprou
MNI00J,AMERICAN,FCO,MAD,1,1,histórico,verão,1502.37,1797.29,1869.54,Preferiu aguardar e comprou depois
KQCVOI,DELTA,PVG,DOH,1,0,família,primavera,922.25,952.06,1005.05,Preferiu aguardar e comprou depois
8YM8DH,AMERICAN,JNB,ICN,1,2,aventura,primavera,1066.18,881.33,876.59,Não comprou
23DAKV,EMIRATES,LHR,LAS,1,0,aventura,outono,1269.91,1165.12,1112.06,Não comprou
NCSQOF,AMERICAN,ZRH,ATL,4,0,negócios,outono,12277.30,11381.24,11411.43,Não comprou
0VX9A5,QATAR,EWR,VIE,3,2,negócios,inverno,4888.06,4898.43,5772.56,Preferiu aguardar e comprou depois
L6O0J5,AMERICAN,DXB,BRU,3,2,aventura,primavera,4129.84,4543.08,4169.98,Preferiu aguardar e comprou depois
ZNH4AC,GOL,CDG,DEN,4,1,aventura,outono,12491.02,14086.97,14754.59,Comprou
M471M7,AZUL,FCO,NRT,1,0,aventura,outono,1854.47,2180.77,2487.66,Comprou
1NG2R8,LATAM,FCO,PHX,3,0,negócios,outono,5135.41,4164.27,4038.39,Não comprou
FE0V8S,AMERICAN,PHX,DXB,3,0,negócios,inverno,7289.09,6497.91,6602.65,Não comprou
09DVO0,AZUL,AMS,BRU,3,2,negócios,verão,8437.33,7931.46,6928.00,Não comprou
PK5K96,GOL,LIS,DXB,2,2,negócios,outono,3025.16,3405.53,3503.70,Comprou
DG85IA,AMERICAN,HKG,BRU,4,1,romântico,verão,16878.47,14854.86,11922.86,Não comprou
1ATRUP,AIR FRANCE,CPT,DUB,4,0,aventura,inverno,7264.93,8016.85,6432.05,Preferiu aguardar e comprou depois
UKNSSQ,EMIRATES,PEK,BRU,1,0,aventura,outono,1354.10,1415.99,1205.19,Preferiu aguardar e comprou depois
K8EAC3,LATAM,MUC,DEN,4,0,negócios,inverno,13713.34,15284.71,17648.62,Comprou
61YE19,AZUL,MAD,MUC,4,0,negócios,inverno,11658.10,13234.89,15772.95,Comprou
AMWMPG,KLM,LGW,ORD,1,0,religioso,primavera,1210.39,1386.00,1138.76,Comprou
365RXG,AZUL,IAH,AKL,2,2,histórico,outono,4524.46,5039.60,5482.24,Preferiu aguardar e comprou depois
KQ21BX,DELTA,PEK,ATH,3,2,romântico,verão,7809.98,6731.25,7464.97,Não comprou
PWJ4AE,AMERICAN,CPT,LGW,3,0,família,outono,7306.15,6471.55,5181.42,Não comprou
H5CUVA,AMERICAN,NRT,YVR,1,2,negócios,primavera,763.02,775.37,714.65,Comprou
XAFFPB,AIR FRANCE,FRA,YVR,4,1,histórico,primavera,8398.36,7003.16,8346.11,Não comprou
AO1300,AZUL,DEN,LAX,4,1,histórico,outono,11420.56,12156.63,13473.97,Preferiu aguardar e comprou depois
6CE6S4,QATAR,SEA,BOM,3,0,família,primavera,6313.12,5845.94,5716.34,Não comprou
PRBZKH,QATAR,MXP,PVG,1,2,histórico,inverno,1492.59,1468.79,1337.16,Não comprou
BFTHJS,EMIRATES,LAX,BCN,3,2,religioso,primavera,4916.20,5400.00,5225.63,Preferiu aguardar e comprou depois
5KYG57,AIR FRANCE,DUB,PVG,3,2,família,outono,4473.07,4874.82,4036.35,Comprou
B1B2JV,QATAR,HND,BOS,4,2,família,verão,14974.04,15364.52,12422.36,Preferiu aguardar e comprou depois
RSXCEE,GOL,CDG,MAD,2,0,família,verão,5810.90,5020.87,5194.02,Não comprou
JDYNE2,UNITED,FCO,ICN,1,0,histórico,verão,2450.84,2108.40,2033.40,Não comprou
2AK1AB,KLM,PHX,ATL,2,2,negócios,primavera,3536.56,4002.29,3852.93,Comprou
IO3EX8,AIR FRANCE,IAH,ORD,1,0,religioso,outono,1906.05,1534.53,1626.72,Não comprou
8KKYIW,DELTA,ZRH,DEL,3,1,aventura,outono,6767.73,6116.16,7039.52,Não comprou
6AEJD7,GOL,DEL,JFK,2,2,romântico,inverno,3812.84,3689.18,4219.05,Não comprou
6JTTD9,LATAM,ATH,DFW,3,1,religioso,outono,6509.56,5343.52,5473.16,Não comprou
S88FIR,AZUL,CLT,MEL,1,2,aventura,verão,2187.06,2271.21,2096.38,Preferiu aguardar e comprou depois
RHOYR9,KLM,LGW,AMS,1,2,negócios,inverno,1034.71,1230.68,1312.03,Comprou
EK4BU8,AIR FRANCE,BOS,MXP,1,1,histórico,primavera,1012.16,919.46,807.75,Não comprou
OAAOMQ,GOL,CDG,DEL,2,2,família,verão,3367.47,3480.53,3542.89,Preferiu aguardar e comprou depois
NJ1BZS,KLM,CLT,DEN,1,0,aventura,outono,1968.75,1913.19,1550.06,Não comprou
F4CJRR,AIR FRANCE,SYD,SIN,2,0,romântico,primavera,4389.94,4169.39,3629.28,Não comprou
FFI9WC,AMERICAN,AKL,HND,1,0,romântico,verão,2402.59,2162.16,2451.50,Não comprou
GAO902,KLM,LAS,EWR,4,1,romântico,inverno,9113.39,9824.67,9541.62,Comprou
PH4NHF,UNITED,MXP,CPT,2,2,romântico,outono,2245.03,2354.57,1997.83,Preferiu aguardar e comprou depois
1ETPY7,DELTA,VIE,LHR,4,2,família,verão,15470.80,15269.79,16610.61,Não comprou
34ZD7D,AIR FRANCE,HKG,CLT,1,0,negócios,outono,1570.52,1479.54,1205.43,Não comprou
VEZTZ4,LATAM,DEN,EWR,3,2,histórico,outono,6887.17,6225.95,5192.47,Não comprou
CLWHOL,AMERICAN,LHR,ORD,1,2,negócios,primavera,1315.81,1398.02,1361.28,Comprou
0AWL7I,DELTA,BRU,SEA,1,1,família,outono,1500.00,1434.75,1479.87,Não comprou
7LO9LP,DELTA,SYD,HKG,2,2,negócios,verão,4972.39,5812.71,4779.32,Comprou
OVLNKU,EMIRATES,PEK,FCO,1,0,romântico,verão,2063.33,1762.49,1915.54,Não comprou
3O136X,UNITED,LAX,MUC,1,1,negócios,outono,1545.17,1703.86,1937.72,Preferiu aguardar e comprou depois
Q5OT03,GOL,DXB,DOH,1,0,aventura,verão,2173.92,1802.56,2102.35,Não comprou
FTBMBM,EMIRATES,ORD,SFO,2,1,histórico,primavera,2354.11,2619.45,2126.44,Preferiu aguardar e comprou depois
N3K2IX,UNITED,ATH,DUB,1,0,romântico,outono,1641.47,1826.37,1814.27,Preferiu aguardar e comprou depois
QR2LMC,AIR FRANCE,SIN,BOS,3,0,aventura,verão,8035.53,9137.86,7399.21,Comprou
T26LP2,GOL,DOH,SYD,4,0,histórico,inverno,9209.06,10285.52,9575.72,Comprou
T6YJAZ,EMIRATES,AMS,HKG,3,1,negócios,inverno,6354.19,6947.12,6913.46,Preferiu aguardar e comprou depois
5LG3M0,AIR FRANCE,VIE,YYZ,3,2,aventura,verão,6894.48,6367.43,5532.79,Não comprou
U9SE3M,AMERICAN,ATH,LIS,2,1,negócios,verão,3510.13,4038.28,4756.53,Comprou
E3LB6J,AMERICAN,BCN,BRU,1,0,aventura,outono,1965.20,1934.22,2042.99,Não comprou
VL5TAH,AZUL,DEN,PEK,2,1,romântico,primavera,1635.66,1743.67,1430.29,Comprou
SG4ZNK,AZUL,ATH,PHX,2,2,aventura,primavera,3339.33,3641.88,3041.20,Comprou
YJV9E6,KLM,MAD,JNB,2,2,histórico,inverno,3751.59,3336.33,3140.52,Não comprou
ZOPI4T,QATAR,MUC,ORD,4,2,aventura,inverno,7122.22,5865.20,4959.09,Não comprou
MGOYLU,AIR FRANCE,EWR,SIN,3,2,histórico,outono,5142.38,5012.79,4019.63,Não comprou
MTDM9M,DELTA,ATL,LGW,1,1,histórico,verão,2214.93,2214.47,2207.92,Não comprou
LOFROS,LATAM,PHX,MAD,1,1,romântico,verão,1992.37,2047.77,2318.32,Preferiu aguardar e comprou depois
XPPBB3,AMERICAN,LGW,ATH,2,1,negócios,outono,2845.08,2527.39,2468.01,Não comprou
D9HI68,AMERICAN,BCN,IAH,2,2,histórico,primavera,2455.38,2876.70,3100.28,Preferiu aguardar e comprou depois
FXGFUV,EMIRATES,HND,FRA,4,2,religioso,primavera,11169.23,12718.88,12566.51,Comprou
ZIS6XD,GOL,ZRH,SEA,2,0,histórico,outono,2816.73,2856.97,2960.40,Preferiu aguardar e comprou depois
BZL6MG,AZUL,SFO,JNB,2,1,histórico,outono,4501.75,5007.09,5751.06,Preferiu aguardar e comprou depois
0V2DAD,AMERICAN,DXB,PEK,3,2,família,verão,7879.06,7707.93,7214.90,Não comprou
29A8I6,EMIRATES,PEK,SEA,4,0,negócios,verão,16277.42,14784.80,14299.86,Não comprou
97KIY1,EMIRATES,BOM,LHR,2,2,religioso,verão,5623.47,5247.56,5215.05,Não comprou
MO371Z,DELTA,PHX,SIN,2,0,histórico,outono,2322.33,1858.39,2193.73,Não comprou
LYG4P0,LATAM,ATL,DEN,4,2,negócios,inverno,12092.06,10575.68,10101.18,Não comprou
MDG5ZJ,AIR FRANCE,PEK,YVR,4,0,religioso,verão,10551.33,8882.99,9589.09,Não comprou
B6HW6T,DELTA,LAS,SFO,1,2,família,inverno,1962.64,2005.46,1912.22,Preferiu aguardar e comprou depois
EUGPTD,AIR FRANCE,BRU,ATH,1,2,negócios,verão,1382.25,1456.65,1333.84,Comprou
JMXVLC,LATAM,IAH,SYD,2,1,religioso,verão,4683.32,4367.28,3724.04,Não comprou
CIBNIT,AZUL,YVR,FRA,4,0,religioso,outono,10575.72,10141.01,11005.99,Não comprou
VQHF0D,EMIRATES,YVR,IAH,1,2,romântico,verão,1536.34,1691.70,1841.30,Comprou
OPS78L,QATAR,YVR,MIA,4,0,aventura,primavera,10977.87,12567.44,14289.34,Preferiu aguardar e comprou depois
6QSPXX,AIR FRANCE,AKL,SFO,4,0,negócios,inverno,7295.16,7152.35,7233.02,Não comprou
WWTB5L,KLM,VIE,AKL,4,0,histórico,outono,12927.30,10381.58,11595.77,Não comprou
7BUY80,LATAM,SIN,DOH,4,1,aventura,verão,14527.77,14097.71,16294.02,Não comprou
ANF6OH,LATAM,LAS,IAH,3,1,aventura,verão,9900.92,10252.03,11451.07,Preferiu aguardar e comprou depois
8BR379,UNITED,PVG,YYZ,3,2,religioso,outono,6172.37,5272.69,5483.58,Não comprou
1P6FY9,EMIRATES,PHX,ICN,2,0,aventura,primavera,2535.77,2757.06,3010.85,Preferiu aguardar e comprou depois
8XE3QJ,EMIRATES,LAX,SFO,1,1,família,inverno,1258.07,1251.86,1146.32,Não comprou
8PDVRO,LATAM,CLT,FCO,1,0,histórico,inverno,1473.08,1190.58,1102.05,Não comprou
JJ9MFD,AMERICAN,DUB,ZRH,2,1,romântico,primavera,2225.17,2635.23,2862.42,Comprou
X3FGX5,LATAM,BOS,CPT,4,2,romântico,verão,14436.21,11947.21,14058.54,Não comprou
2IZLVB,AZUL,DFW,DEL,2,0,histórico,verão,5732.43,6200.61,5332.31,Comprou
XZEFNW,DELTA,BOS,LHR,2,1,família,outono,4104.41,4087.84,4101.58,Não comprou
6M495V,QATAR,LGA,MEL,1,1,família,outono,1225.21,1147.04,1371.68,Não comprou
FO9KTM,AZUL,DOH,ATL,4,2,negócios,primavera,8565.13,8994.36,8896.76,Preferiu aguardar e comprou depois
IGIYOV,KLM,BOS,CDG,3,0,histórico,outono,6083.62,5926.49,6298.34,Não comprou
U2QN8M,KLM,DEN,DOH,2,2,família,outono,1727.83,1465.73,1356.07,Não comprou
A252NJ,AMERICAN,DUB,HND,4,1,aventura,verão,14301.49,15754.31,15414.44,Comprou
GWSCBF,AZUL,DOH,LAX,3,2,romântico,outono,4370.44,3533.41,2896.68,Não comprou
3AU366,KLM,JNB,JFK,2,1,romântico,primavera,2094.66,2211.39,2474.51,Comprou
NZBPUR,QATAR,FRA,SEA,4,1,histórico,verão,12365.15,13925.75,11412.74,Comprou
YG80Q3,AZUL,BCN,AMS,2,1,aventura,primavera,2626.07,2757.08,2629.77,Preferiu aguardar e comprou depois
2GRZTH,GOL,SIN,LAX,4,0,religioso,inverno,10993.81,11297.43,12554.50,Comprou
WB3EA7,AZUL,HKG,EWR,3,1,histórico,outono,4375.65,4658.83,4933.18,Comprou
F7PQC2,UNITED,PVG,LHR,1,0,histórico,verão,1776.40,1459.85,1638.39,Não comprou
C8OCGZ,DELTA,AMS,PHX,1,2,família,outono,1191.18,1121.46,911.57,Não comprou
AFVWKT,AIR FRANCE,BOS,MXP,2,1,família,verão,3818.48,3674.11,4084.97,Não comprou
2H73AV,DELTA,AMS,BOS,1,1,histórico,inverno,1179.36,1123.68,1226.95,Não comprou
6IBZU5,AMERICAN,MUC,SYD,4,1,romântico,inverno,12385.61,10110.82,10443.65,Não comprou
I5FVCB,LATAM,EWR,ORD,2,0,religioso,outono,1860.43,2218.25,2080.18,Preferiu aguardar e comprou depois
ZWPH8N,AZUL,YVR,LIS,1,1,negócios,verão,1985.03,1673.88,1992.12,Não comprou
TAZXIZ,GOL,HKG,MIA,4,0,romântico,primavera,9390.54,9372.83,8198.20,Não comprou
J924SE,AIR FRANCE,MAD,JFK,3,0,família,inverno,5959.35,5728.81,6662.29,Não comprou
CH0BNT,GOL,HKG,BOM,2,2,histórico,inverno,2845.35,2335.23,2088.93,Não comprou
XAUFZ9,DELTA,JNB,ATL,3,1,religioso,outono,5596.74,4955.77,5607.36,Não comprou
KPBOXQ,UNITED,FCO,SFO,1,0,religioso,verão,2336.65,2497.11,2266.70,Comprou
68DVRW,GOL,DXB,CLT,3,0,religioso,primavera,6218.45,6673.25,6192.71,Comprou
AAUBF9,LATAM,BCN,YYZ,3,2,aventura,verão,7312.21,8212.64,6930.53,Comprou
5CGFE9,QATAR,ZRH,SEA,4,1,aventura,primavera,8926.00,7446.78,8035.96,Não comprou
I9VLW1,LATAM,MEL,HND,2,2,aventura,inverno,1701.28,1818.09,1936.52,Comprou
9VES3I,KLM,PEK,LHR,2,0,romântico,primavera,4093.18,4897.35,4365.98,Preferiu aguardar e comprou depois
C86B53,QATAR,SIN,ICN,3,2,negócios,verão,5840.04,6965.79,7019.31,Comprou
EMMZIZ,DELTA,PHX,CPT,3,0,família,outono,5464.22,5409.77,5025.45,Não comprou
8IFUHA,AIR FRANCE,HKG,ICN,1,1,religioso,inverno,1532.85,1519.78,1759.83,Não comprou
05S1GQ,UNITED,LAX,BCN,3,1,religioso,verão,8413.31,7185.19,7717.13,Não comprou
8AU0R7,QATAR,LAS,LGW,3,2,aventura,verão,7059.06,7464.73,5982.17,Preferiu aguardar e comprou depois
YSFARH,KLM,AMS,LAX,1,1,romântico,inverno,1823.37,1832.18,1787.23,Preferiu aguardar e comprou depois
5F8SPF,UNITED,LGW,DUB,3,1,aventura,primavera,4138.67,3878.79,4031.88,Não comprou
72XB3X,KLM,YVR,ORD,1,2,negócios,inverno,902.20,890.66,830.60,Não comprou
CKOMY7,KLM,MUC,DEN,3,1,aventura,verão,9407.81,10701.51,11590.32,Comprou
UX6NKX,KLM,PVG,LGA,1,2,religioso,outono,1719.89,1722.89,1750.33,Preferiu aguardar e comprou depois
KJ7ZHI,QATAR,DUB,LIS,1,0,negócios,outono,1963.16,2210.11,2413.87,Comprou
HU6IVP,UNITED,YYZ,DOH,1,2,histórico,primavera,988.27,823.14,698.00,Não comprou
PJ0O37,QATAR,VIE,LGA,3,1,negócios,inverno,5905.12,7009.88,6982.65,Comprou
JCB8RP,GOL,DEL,EWR,1,0,família,inverno,1350.19,1583.57,1764.85,Comprou
38LMW7,LATAM,SIN,DUB,2,0,histórico,primavera,3955.82,3369.57,2985.81,Não comprou
SQGF0H,DELTA,HND,DXB,3,1,romântico,outono,4789.16,5679.29,6317.48,Comprou
YPIYKV,EMIRATES,AMS,LHR,2,2,família,outono,2038.71,1747.76,1598.38,Não comprou
8F6GOA,QATAR,ORD,HKG,3,1,negócios,outono,5533.31,5135.86,6038.92,Não comprou
YAQUQ7,UNITED,DEN,PVG,4,0,aventura,inverno,10472.18,9162.40,9274.74,Não comprou
AAHYWA,KLM,MEL,IAH,4,0,romântico,outono,10765.86,10831.55,9924.68,Preferiu aguardar e comprou depois
E944VZ,LATAM,BOS,BRU,4,0,romântico,inverno,11156.00,11458.86,12442.56,Comprou
XN67EB,GOL,AKL,BRU,1,1,aventura,inverno,1301.15,1206.32,1112.06,Não comprou
53PY4U,AMERICAN,ATL,JNB,1,0,histórico,verão,1248.12,1339.61,1306.25,Comprou
U0OOFM,AMERICAN,DEL,IAH,2,2,romântico,outono,2098.35,1965.23,2174.03,Não comprou
OIR3UN,AIR FRANCE,BOM,HND,3,2,aventura,inverno,6957.49,5961.03,6477.24,Não comprou
Y9I7VH,DELTA,HKG,DFW,2,1,religioso,primavera,3033.17,2596.26,2520.78,Não comprou
YQJE30,AZUL,LHR,DEN,4,1,família,outono,7420.09,6635.02,6131.97,Não comprou
ADQLU2,AZUL,MEL,MXP,3,0,romântico,verão,10857.65,10356.72,8624.53,Não comprou
BOAWL8,AZUL,PVG,HKG,4,0,histórico,outono,14543.97,14374.40,11811.73,Não comprou
RPPYI1,DELTA,ZRH,MUC,4,0,romântico,verão,14068.66,11374.35,9619.52,Não comprou
195FL2,AMERICAN,FCO,AMS,4,1,negócios,inverno,10952.93,9684.20,10486.75,Não comprou
OV8BN5,AZUL,SYD,DXB,1,0,religioso,primavera,1203.47,1300.19,1549.96,Comprou
